,Time,Source,Content
0,null,null,"גאדג'טים. מחשבים ואינטרנט
מחפשים חופשה בזול? לחצו כאןלוח שנה עברי"
1,18:32 20/06,TGSpot,הציונים של Diablo Immortal ברצפה אבל הרווחים בשמיים
2,17:32 20/06,Gadgety,הוכרז: Realme C30 – מכשיר כניסה במחיר נמוך מ-100 דולר
3,17:08 20/06,nexter,כיבתה להם את האור: איראן החליטה לנתק את החשמל לכורי הקריפטו
4,17:08 20/06,Ynet,מציאות או מציאות מדומה? מטא רוצה לטשטש את הגבולות
5,16:56 20/06,TGSpot,לא חיכה לסוני: יוטיובר יצר גרסה דקיקה וקרירה ל-PlayStation 5
6,16:24 20/06,Geektime,מפתחים? סטארטאפ ישראלי חדש בנה קווסטים שישפרו לכם את היכולות
7,16:08 20/06,Geektime,מפתחים? סטארטאפ ישראלי חדש בנה לכם קווסטים שישפרו לכם את היכולות
8,16:08 20/06,Gadgety,הוכרז: ViewFinity S8 – מסך 4K ליוצרי תוכן מבית סמסונג
9,15:32 20/06,Geektime,מעבר לסביבה מרובת עננים: איך עושים את זה פשוט?
10,15:08 20/06,nexter,"""גוגל מעסיקה מספר גדול של חברים מכת קיצונית"""
11,14:40 20/06,TGSpot,ביקורת משחק: Sniper Elite 5 – משימה סודית בהחלט
12,13:48 20/06,Gadgety,לקראת ההכרזה: שיאומי חושפת פרטים על ה-Poco X4 GT
13,13:16 20/06,nexter,כל מה שצריך לדעת על מנוי הפרימיום של טלגרם
14,13:16 20/06,nexter,"למרות גיוס של 640 מיליון דולר: טראקס מפטרת 100 עובדים, מחציתם בישראל"
15,12:32 20/06,TGSpot,"וידאו: כסא הגיימרים החדש של ד""ר גב"
16,11:40 20/06,Geektime,"איך מטמיעים מערכת הרשאות באפליקציה תוך רבע שעה? הו, אנחנו שמחים ששאלת"
17,11:40 20/06,Gadgety,הוכרזו: ROG Delta S Wireless – אוזניות גיימינג עם חיבור אלחוטי כפול
18,10:32 20/06,Geektime,"אשטון קוצ'ר משקיע בסטארטאפ של פרופסור לילך עמירב, שהופך אנרגיית שמש למימן ""ירוק"""
19,10:32 20/06,TGSpot,מנוי הפרמיום של Telegram יוצא לדרך ב-4.99 דולר לחודש
20,10:24 20/06,כלכליסט,ענקית התקשורת האמריקאית קומקאסט רוכשת את Levl בכ־50 מיליון דולר
21,10:08 20/06,כלכליסט,חשד: מתקפת סייבר איראנית הפעילה אזעקות שווא בירושלים ואילת
22,09:40 20/06,Geektime,האם האקרים איראניים הצליחו להפעיל את האזעקות בירושלים ובאילת?
23,09:32 20/06,Gadgety,טלגרם חוגגת 700 מיליון משתמשים ומשיקה גרסת פרימיום
24,06:08 20/06,כלכליסט,ענקית התקשורת האמריקאית קומקאסט רוכשת את Levl הישראלית בכ־50 מיליון דולר
25,21:32 19/06,TGSpot,הסוף של גוגל ברוסיה: הגישה בקשה לפשיטת רגל
26,19:08 19/06,TGSpot,"טלפון הדגל של ויוו, X80 Pro, הוכרז באירופה והמחיר בהתאם"
